Substrate,Enzyme,Time,alphaNH
30,3,2775,24.485674196512424
30,3,2780,24.49790312088348
30,3,2785,24.504650112016748
30,3,2790,24.513083850933327
30,3,2795,24.52193927385373
30,3,2800,24.530373012770312
30,3,2805,24.544288684924684
30,3,2810,24.556517603411713
30,3,2815,24.56705977999945
30,3,2820,24.58814412729091
30,3,2825,24.602059793561256
30,3,2830,24.617662213498942
30,3,2835,24.635373065223767
30,3,2840,24.654770664731906
30,3,2845,24.672481516456727
30,3,2850,24.699047791101954
30,3,2855,24.70452972433974
30,3,2870,24.707481530018537
30,3,2875,24.712120089364664
30,3,2880,24.720553828281243
30,3,2885,24.73067431498114
30,3,2890,24.738686364009887
30,3,2895,24.753867094059732
30,3,2900,24.772843009564053
30,3,2905,24.790132171401037
30,3,2910,24.803626153667565
30,3,2915,24.818806883717414
30,3,2920,24.836096051438417
30,3,2925,24.851698465492085
30,3,2930,24.872361128779723
30,3,2935,24.895132223854493
30,3,2940,24.89850571942112
30,3,2945,24.906939452453685
30,3,2950,24.913686443586954
30,3,2955,24.922120182503534
30,3,2960,24.93224066920343
30,3,2965,24.952903332491065
30,3,2970,24.9562768280577
30,3,2975,24.963023819190965
30,3,2980,24.973144305890862
30,3,2985,24.98705997216122
30,3,2990,25.00603588766553
30,3,2995,25.01446962658211
30,3,3005,25.019108180044228
30,3,3010,25.02712023495699
30,3,3015,25.040614217223524
30,3,3020,25.055794947273366
30,3,3025,25.072662425106532
30,3,3030,25.077300978568644
30,3,3035,25.0781443524603
30,3,3040,25.086156407373064
30,3,3045,25.09248170861849
30,3,3050,25.10049376353125
30,3,3055,25.11187930812663
30,3,3060,25.12157811082271
30,3,3065,25.12959015985145
30,3,3070,25.14266245811416
30,3,3075,25.14519257978914
30,3,3080,25.156578124384513
30,3,3085,25.15742149827617
30,3,3090,25.159529935947326
30,3,3095,25.15995161995115
30,3,3100,25.17639741378049
30,3,3105,25.192843201725815
30,3,3110,25.210975743338476
30,3,3115,25.216879360580084
30,3,3120,25.226156473388325
30,3,3125,25.237120333979878
30,3,3130,25.244710699004806
30,3,3135,25.26115648695013
30,3,3140,25.268746851975056
30,3,3150,25.277602280779476
30,3,3155,25.28477095591656
30,3,3160,25.290252889154345
30,3,3165,25.304590245312536
30,3,3170,25.313445668232937
30,3,3190,25.31850591158289
30,3,3195,25.332421583737258
30,3,3200,25.339168574870524
30,3,3205,25.345915566003786
30,3,3210,25.35603605270369
30,3,3215,25.367843287186904
30,3,3220,25.37079509286569
30,3,3225,25.384710765020063
30,3,3230,25.391457756153333
30,3,3235,25.394409561832124
30,3,3240,25.39904812117825
30,3,3250,25.41085569414106
